Date,Price,Open,High,Low,,
8/26/2020,84.63,84.795,84.89,84.715,,
8/25/2020,84.63,84.79,84.965,84.715,,
8/24/2020,84.63,84.795,84.96,84.715,,
8/21/2020,84.63,84.77,84.81,84.77,,
8/20/2020,84.63,84.76,84.855,84.715,,
8/19/2020,84.63,84.795,84.86,84.715,,
8/18/2020,84.63,84.795,84.91,84.715,,
8/17/2020,84.63,84.9,84.94,84.715,,
8/13/2020,84.63,84.875,84.985,84.79,,
8/12/2020,84.63,84.875,84.905,84.79,,
8/11/2020,84.63,84.83,84.93,84.83,,
8/10/2020,84.63,84.835,84.915,84.755,,
8/7/2020,84.63,84.79,84.82,84.79,,
8/6/2020,84.63,84.795,84.885,84.715,,
8/5/2020,84.63,84.795,84.87,84.715,,
8/4/2020,84.63,84.795,84.83,84.715,,
8/3/2020,84.63,84.795,84.87,84.715,,
7/31/2020,84.63,84.78,84.82,84.78,,
7/30/2020,84.63,84.795,84.86,84.715,,
7/29/2020,84.63,84.79,84.88,84.715,,
7/28/2020,84.63,84.795,84.87,84.715,,
7/27/2020,84.63,84.795,84.84,84.715,,
7/24/2020,84.63,84.8,84.85,84.8,,
7/23/2020,84.63,84.76,84.88,84.715,,
7/22/2020,84.63,84.795,84.84,84.715,,
7/21/2020,84.63,84.795,84.85,84.715,,
7/20/2020,84.63,84.795,84.88,84.715,,
7/17/2020,84.63,84.78,84.78,84.78,,
7/16/2020,84.63,84.795,84.85,84.715,,
7/15/2020,84.63,84.795,84.84,84.715,,
7/14/2020,84.63,84.795,84.86,84.715,,
7/13/2020,84.63,84.795,84.84,84.715,,
7/10/2020,84.73,84.92,84.95,84.92,,
7/9/2020,84.73,84.805,84.945,84.765,,
7/8/2020,84.73,84.795,84.905,84.765,,
7/7/2020,84.79,84.9,84.965,84.765,,
7/6/2020,84.73,84.795,84.95,84.765,,
7/2/2020,84.84,84.845,84.925,84.845,,
6/30/2020,84.73,84.845,84.98,84.79,,
6/29/2020,84.73,84.845,84.965,84.79,,
6/26/2020,84.73,84.89,84.91,84.89,,
6/25/2020,84.73,84.825,84.925,84.79,,
6/24/2020,84.73,84.825,84.97,84.79,,
6/23/2020,84.73,84.875,85.04,84.79,,
6/22/2020,84.73,84.925,85.065,84.815,,
6/19/2020,84.73,84.9,84.94,84.9,,
6/18/2020,84.73,84.945,85.045,84.815,,
6/17/2020,84.73,84.945,85.045,84.84,,
6/16/2020,84.73,84.945,85.025,84.84,,
6/15/2020,84.73,84.945,85.045,84.84,,
6/11/2020,84.94,84.945,85.025,84.84,,
6/10/2020,84.73,84.945,84.995,84.84,,
6/9/2020,84.73,84.945,85.055,84.84,,
6/8/2020,84.73,84.945,85.115,84.84,,
6/5/2020,84.73,84.96,85.07,84.91,,
6/4/2020,84.73,84.92,85.055,84.84,,
6/3/2020,84.73,84.945,85.025,84.84,,
6/2/2020,84.78,84.945,84.985,84.865,,
6/1/2020,84.73,84.945,84.995,84.84,,
5/29/2020,84.73,84.86,84.97,84.86,,
5/28/2020,84.73,84.945,85.025,84.84,,
5/27/2020,84.78,84.945,85.355,84.84,,
5/26/2020,84.73,85.17,85.29,85.17,,
5/22/2020,84.73,85.06,85.17,85.06,,
5/21/2020,84.73,84.96,85.06,84.96,,
5/20/2020,84.73,84.945,85.055,84.84,,
5/19/2020,84.73,84.945,85.125,84.84,,
5/18/2020,84.94,84.945,84.945,84.945,,
5/15/2020,84.73,84.95,85.02,84.87,,
5/14/2020,84.73,84.945,85.045,84.84,,
5/13/2020,84.73,84.945,85.015,84.84,,
5/12/2020,84.73,84.945,85.445,84.84,,
