"Date","Price","Open","High","Low","Vol.","Change %"
"11/07/2019","84.740","84.745","84.745","84.745","","0.00%"
"11/06/2019","84.740","84.745","84.745","84.745","","0.00%"
"11/05/2019","84.740","84.745","84.745","84.745","","0.17%"
"11/04/2019","84.600","84.745","85.030","84.625","0.01K","0.12%"
"11/01/2019","84.500","84.780","84.850","84.780","0.01K","0.00%"
"10/31/2019","84.500","84.745","84.890","84.625","0.02K","0.00%"
"10/30/2019","84.500","84.745","84.840","84.625","0.02K","0.00%"
"10/29/2019","84.500","84.745","84.950","84.495","0.02K","0.00%"
"10/28/2019","84.500","84.745","84.900","84.375","0.02K","0.00%"
"10/25/2019","84.500","84.520","84.830","84.520","0.01K","0.00%"
"10/24/2019","84.500","84.695","84.795","84.475","0.01K","0.00%"
"10/23/2019","84.500","84.695","84.855","84.475","0.02K","0.00%"
"10/22/2019","84.500","84.695","84.815","84.600","0.01K","0.00%"
"10/21/2019","84.500","84.695","84.835","84.475","0.01K","0.00%"
"10/18/2019","84.500","84.760","84.890","84.520","0.02K","0.00%"
"10/17/2019","84.500","84.695","84.845","84.475","0.02K","0.00%"
"10/16/2019","84.500","84.800","84.895","84.475","0.01K","0.00%"
"10/15/2019","84.500","84.695","84.885","84.475","0.02K","-0.22%"
"10/14/2019","84.690","84.695","84.695","84.695","","0.22%"
"10/11/2019","84.500","84.520","84.850","84.520","0.01K","0.00%"
"10/10/2019","84.500","84.695","84.835","84.600","0.02K","0.30%"
"10/09/2019","84.250","84.645","84.815","84.450","0.02K","0.00%"
"10/08/2019","84.250","84.570","84.660","84.570","0.01K","0.00%"
"10/07/2019","84.250","84.645","84.755","84.450","0.02K","0.00%"
"10/04/2019","84.250","84.560","84.660","84.560","0.01K","0.00%"
"10/03/2019","84.250","84.495","84.745","84.375","0.02K","0.00%"
"10/02/2019","84.250","84.495","84.640","84.375","0.02K","-0.28%"
"10/01/2019","84.490","84.495","84.495","84.495","","0.00%"
"09/30/2019","84.490","84.495","84.495","84.495","","-0.07%"
"09/27/2019","84.550","84.550","84.550","84.550","","0.36%"
"09/26/2019","84.250","84.495","84.670","84.375","0.02K","0.00%"
"09/25/2019","84.250","84.490","84.610","84.375","0.01K","0.00%"
"09/24/2019","84.250","84.495","84.600","84.375","0.01K","0.00%"
"09/23/2019","84.250","84.495","84.610","84.375","0.01K","0.00%"
"09/20/2019","84.250","84.460","84.540","84.460","0.01K","0.00%"
"09/19/2019","84.250","84.495","84.570","84.375","0.01K","0.00%"
"09/18/2019","84.250","84.610","84.730","84.375","0.02K","0.00%"
"09/17/2019","84.250","84.495","84.720","84.375","0.01K","0.00%"
"09/16/2019","84.250","84.495","84.650","84.375","0.02K","0.00%"
"09/13/2019","84.250","84.530","84.660","84.520","0.02K","0.00%"
"09/12/2019","84.250","84.495","84.640","84.375","0.02K","0.00%"
"09/11/2019","84.250","84.495","84.620","84.375","0.02K","0.00%"
"09/10/2019","84.250","84.655","84.745","84.655","0.01K","0.00%"
"09/09/2019","84.250","84.495","84.835","84.375","0.01K","-0.31%"
"09/06/2019","84.510","84.510","84.510","84.510","","0.31%"
"09/05/2019","84.250","84.495","84.775","84.375","0.02K","-0.28%"
"09/04/2019","84.490","84.495","84.515","84.370","0.01K","0.28%"
"09/03/2019","84.250","84.495","84.550","84.375","0.01K","-0.28%"
"09/02/2019","84.490","84.495","84.495","84.495","","-0.01%"
"08/30/2019","84.495","84.495","84.495","84.495","","0.01%"
"08/29/2019","84.490","84.495","84.775","84.375","0.01K","0.00%"
"08/28/2019","84.490","84.495","84.495","84.495","","0.00%"
"08/27/2019","84.490","84.495","84.495","84.495","","0.00%"
"08/26/2019","84.490","84.495","84.505","84.495","0.01K","0.28%"
"08/23/2019","84.250","84.655","84.655","84.410","0.00K","0.00%"
"08/22/2019","84.250","84.495","84.775","84.375","0.00K","0.00%"
"08/21/2019","84.250","84.495","84.775","84.375","0.01K","0.00%"
"08/20/2019","84.250","84.495","84.530","84.375","0.00K","0.00%"
"08/19/2019","84.250","84.495","84.775","84.375","0.01K","0.00%"
"08/16/2019","84.250","84.655","84.710","84.580","0.02K","0.00%"
"08/15/2019","84.250","84.490","84.570","84.490","0.01K","0.00%"
"08/14/2019","84.250","84.495","84.775","84.375","0.02K","0.00%"
"08/13/2019","84.250","84.455","84.655","84.455","0.01K","0.00%"
"08/12/2019","84.250","84.455","84.595","84.455","0.02K","0.00%"
"08/09/2019","84.250","84.455","84.525","84.425","0.01K","0.00%"
"08/08/2019","84.250","84.495","84.670","84.375","0.02K","0.00%"
"08/07/2019","84.250","84.495","84.670","84.375","0.03K","0.00%"
"08/06/2019","84.250","84.495","84.670","84.375","0.01K","0.00%"
"08/05/2019","84.250","84.495","84.670","84.120","0.02K","0.00%"
"08/02/2019","84.250","84.550","84.660","84.550","0.01K","0.00%"
"08/01/2019","84.250","84.495","84.680","84.375","0.02K","0.00%"
"07/31/2019","84.250","84.495","84.640","84.375","0.02K","0.10%"
"07/30/2019","84.170","84.495","84.595","84.335","0.02K","0.00%"
"07/29/2019","84.170","84.495","84.565","84.335","0.01K","-0.08%"
"07/26/2019","84.240","84.470","84.520","84.470","0.01K","0.00%"
"07/25/2019","84.240","84.495","84.585","84.370","0.02K","-0.01%"
"07/24/2019","84.250","84.495","84.590","84.375","0.01K","0.01%"
"07/23/2019","84.240","84.495","84.595","84.370","0.02K","-0.01%"
"07/22/2019","84.250","84.495","84.560","84.375","0.01K","0.00%"
"07/19/2019","84.250","84.510","84.650","84.425","0.01K","0.00%"
"07/18/2019","84.250","84.510","84.595","84.375","0.02K","-0.19%"
"07/17/2019","84.410","84.495","84.545","84.455","0.01K","0.00%"
"07/16/2019","84.410","84.495","84.545","84.455","0.02K","-0.01%"
"07/15/2019","84.420","84.495","84.545","84.460","0.01K","-0.09%"
"07/12/2019","84.495","84.495","84.495","84.495","","0.01%"
"07/11/2019","84.490","84.495","84.495","84.495","","0.08%"
"07/10/2019","84.420","84.495","84.545","84.460","0.01K","0.01%"
"07/09/2019","84.410","84.495","84.510","84.455","0.01K","-0.01%"
"07/08/2019","84.420","84.495","84.555","84.460","0.01K","-0.09%"
"07/05/2019","84.495","84.495","84.495","84.495","","0.01%"
"07/04/2019","84.490","84.495","84.495","84.495","","0.00%"
"07/03/2019","84.490","84.495","84.495","84.495","","0.08%"
"07/02/2019","84.420","84.495","84.550","84.460","0.01K","0.00%"
